k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2813,1399,186.71601129171407,187.15700431068967,188.01383070985057,657662,0.3217505543966423,11,0.677531341
2814,1398,186.75062957449475,187.1910672169801,188.04724648025748,656840,0.24497866312686423,10,0.661453994
2815,1420,186.78119452470523,187.33320284071104,188.08065631377693,659470,0.24497866312686423,10,0.675207136
2816,1413,186.82036655925594,187.475338464442,188.1140602135721,646571,0.3217505543966423,11,0.653479178
2817,1412,186.85498484203666,187.5094013707324,188.1474581828035,647728,0.24497866312686423,11,0.653551034
2818,1412,186.89415687658737,187.5434642770228,188.18085022462873,646334,0.3217505543966423,12,0.627533964
2819,1412,186.92877515936806,187.57752718331324,188.21423634220264,647472,0.24497866312686423,11,0.644131059
2820,1412,186.95934010957853,187.61159008960365,188.24761653867725,647348,0.24497866312686423,11,0.616675386
2821,1400,186.98660368056065,187.7537257133346,188.2809908172018,632669,0.24497866312686423,8,0.64235315
2822,1401,187.0106897925855,187.76542043176732,188.31435918092274,633902,0.24497866312686423,9,0.606275114
2823,1402,187.04986182713623,187.77711515020007,188.34772163298376,635145,0.3217505543966423,10,0.642462159
2824,1401,187.08448010991694,187.78778250831857,188.38107817652573,634255,0.24497866312686423,9,0.644702669
2825,1400,187.11504506012741,187.79844986643707,188.41442881468674,633300,0.24497866312686423,9,0.607564087
2826,1399,187.1406631534091,187.80911722455554,188.44777355060214,633219,0.24497866312686423,8,0.638450292
2827,1398,187.16474926543395,187.81978458267403,188.48111238740444,633237,0.24497866312686423,9,0.624792956
2828,1398,187.18883537745882,187.83147930110678,188.51444532822342,633944,0.24497866312686423,9,0.62024584
2829,1398,187.22800741200953,187.84317401953953,188.54777237618612,634663,0.3217505543966423,10,0.642489769
2830,1398,187.26262569479024,187.85486873797225,188.5810935344168,635362,0.24497866312686423,10,0.633631046
2831,1398,187.30179772934096,187.866563456405,188.61440880603692,636087,0.3217505543966423,11,0.627107828
2832,1398,187.33641601212165,187.8772308145235,188.64771819416524,636790,0.24497866312686423,10,0.638921605
2833,1397,187.36698096233212,187.88789817264197,188.68102170191767,637034,0.24497866312686423,10,0.637937529
2834,1396,187.40615299688284,187.89856553076046,188.71431933240757,635270,0.3217505543966423,11,0.638098783
