k,Area,Configs computed,DP duration,Longest edge len,Longest primitive edge len,Max angle of sol,Naive perimeter,Perimeter,Running time in seconds,UB max turn_angle,UB primitive edge len,boundary grid points,circle perimeter,vertices
5465,5394.5,853763,0.341012144,14.0,4.123105625617661,0.24497866312686423,262.0595646174222,260.90795742431743,0.560334679,0.535066472386554,11,139,261.0846335602991,40
5466,5402.5,853889,0.349735665,11.0,5.0990195135927845,0.19739555984988158,262.08353969314294,260.92982300903805,0.569357537,0.5350338404127958,11,125,261.12115693507195,40
5467,5403.0,854181,0.332574419,11.0,5.0990195135927845,0.24497866312686423,262.10751257585423,260.9539091210629,0.552600181,0.5350012163980556,11,126,261.15768030984486,40
5468,5404.0,855823,0.352269069,11.0,5.0990195135927845,0.19739555984988158,262.1314832661578,260.97455327344693,0.572651299,0.5349686003389369,11,126,261.1942036846177,40
5469,5404.5,860730,0.352474333,11.0,5.0990195135927845,0.24497866312686423,262.1554517646549,260.9986393854718,0.575338003,0.5349359922320452,11,127,261.23072705939063,40
5470,5405.5,862387,0.350533744,11.0,5.0990195135927845,0.19739555984988158,262.1794180719468,261.0192835378558,0.5718561,0.5349033920739884,11,127,261.2672504341635,40
5471,5406.0,867442,0.348264061,12.0,5.0990195135927845,0.24497866312686378,262.2033821886343,261.0433696498807,0.570299982,0.5348707998613758,11,128,261.30377380893634,40
5472,5407.0,867712,0.356230929,10.0,5.0990195135927845,0.19739555984988158,262.227344115318,261.0640138022647,0.577655187,0.5348382155908192,11,128,261.3402971837092,40
5473,5407.5,867970,0.353132869,11.0,5.0990195135927845,0.24497866312686423,262.25130385259814,261.08809991428956,0.576743839,0.5348056392589328,11,129,261.3768205584821,40
5474,5408.5,868779,0.344241245,10.0,5.0990195135927845,0.19739555984988158,262.2752614010748,261.1087440666736,0.56623722,0.534773070862332,11,129,261.40090667050697,40
5475,5409.0,869581,0.353854048,11.0,5.0990195135927845,0.24497866312686423,262.2992167613477,261.1328301786985,0.577117563,0.5347405103976349,11,130,261.42499278253183,40
5476,5410.0,868905,0.345980981,11.0,5.0990195135927845,0.19739555984988158,262.3231699340164,261.1534743310825,0.566491377,0.5347079578614616,11,130,261.4360821074721,40
5477,5410.5,868143,0.348049453,11.0,5.0990195135927845,0.24497866312686423,262.34712091968,261.1775604431074,0.568083118,0.5346754132504341,11,131,261.44717143241235,40
5478,5411.0,868938,0.360616726,12.0,5.0990195135927845,0.24497866312686423,262.37106971893746,261.20164655513224,0.580516858,0.5346428765611765,11,132,261.45826075735255,40
5479,5411.5,868181,0.345965272,11.0,5.0990195135927845,0.24497866312686423,262.3950163323875,261.2257326671571,0.565314153,0.5346103477903149,11,133,261.4693500822928,40
5480,5412.0,868167,0.332804007,11.0,5.0990195135927845,0.24497866312686423,262.41896076062847,261.24981877918196,0.552195772,0.5345778269344776,11,134,261.4934361943177,40
5481,5412.5,868161,0.350856428,12.0,5.0990195135927845,0.24497866312686423,262.4429030042585,261.2739048912069,0.569964221,0.5345453139902949,11,135,261.5175223063426,40
5482,5413.0,868140,0.360248673,11.0,5.0990195135927845,0.24497866312686423,262.4668430638754,261.29799100323174,0.581194603,0.534512808954399,11,136,261.54160841836745,40
5483,5413.5,868121,0.36632146,13.0,5.0990195135927845,0.24497866312686423,262.4907809400767,261.3220771152566,0.586467717,0.5344803118234244,11,137,261.5656945303923,40
5484,5414.0,868982,0.336912254,11.0,4.123105625617661,0.24497866312686423,262.51471663345984,261.34616322728147,0.556955497,0.5344478225940072,11,138,261.5767838553325,40
5485,5415.5,868305,0.348757164,13.0,5.0990195135927845,0.24497866312686423,262.53865014462167,261.3717813205632,0.56694083,0.5344153412627863,11,137,261.58787318027277,40
5486,5416.0,869183,0.363746301,11.0,5.0990195135927845,0.24497866312686423,262.56258147415906,261.39586743258803,0.582612382,0.5343828678264019,11,138,261.598962505213,40
5487,5416.5,868403,0.343447182,14.0,4.123105625617661,0.24497866312686423,262.58651062266847,261.4199535446129,0.561520642,0.5343504022814966,11,139,261.6100518301533,40
5488,5418.0,869271,0.366389425,15.0,5.0990195135927845,0.24497866312686423,262.6104375907461,261.4455716378946,0.583728511,0.5343179446247148,11,138,261.63413794217814,40
5489,5418.5,870122,0.346252964,14.0,5.0990195135927845,0.24497866312686423,262.6343623789878,261.46965774991946,0.564457238,0.5342854948527036,11,139,261.658224054203,40
5490,5419.0,869565,0.346021236,14.0,4.123105625617661,0.24497866312686423,262.65828498798936,261.4937438619443,0.564382443,0.5342530529621112,11,140,261.67140488473666,40
5491,5420.5,868892,0.366049587,14.0,5.0990195135927845,0.24497866312686423,262.6822054183462,261.51936195522603,0.58368515,0.5342206189495884,11,139,261.6845857152704,40
5492,5421.0,868864,0.367381102,14.0,5.0990195135927845,0.24497866312686423,262.70612367065326,261.5434480672509,0.58416482,0.5341881928117881,11,140,261.69776654580403,40
5493,5421.5,868836,0.347592168,14.0,4.123105625617661,0.24497866312686423,262.73003974550556,261.56753417927575,0.565823195,0.5341557745453648,11,141,261.7109473763377,40
5494,5423.0,868804,0.342447493,15.0,5.0990195135927845,0.24497866312686423,262.7539536434976,261.59315227255746,0.56121888,0.5341233641469753,11,140,261.7241282068714,40
5495,5423.5,868752,0.340152602,14.0,5.0990195135927845,0.24497866312686423,262.7778653652237,261.6172383845823,0.558205468,0.5340909616132785,11,141,261.73730903740505,40
5496,5424.0,868538,0.346374989,15.0,4.123105625617661,0.24497866312686423,262.80177491127796,261.6413244966072,0.565239056,0.5340585669409352,11,142,261.7504898679387,40
5497,5425.5,868051,0.354391443,14.0,5.0990195135927845,0.24497866312686423,262.8256822822541,261.66694258988883,0.572872574,0.5340261801266083,11,141,261.76367069847237,40
5498,5426.0,868856,0.373844101,15.0,5.0990195135927845,0.24497866312686423,262.8495874787456,261.69102870191375,0.592660259,0.5339938011669627,11,142,261.78343553630947,40
5499,5426.5,869680,0.343212818,15.0,4.123105625617661,0.24497866312686423,262.8734905013457,261.7151148139386,0.561016987,0.5339614300586653,11,143,261.8032003741465,40
5500,5433.5,869009,0.338215858,12.0,5.0990195135927845,0.19739555984988158,262.89739135064735,261.7392607687094,0.554224144,0.5339290667983848,11,131,261.8229652119836,40
5501,5434.0,869835,0.357100222,12.0,5.0990195135927845,0.24497866312686378,262.92129002724334,261.7633468807343,0.575382662,0.5338967113827924,11,132,261.8427300498207,40
